Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Apertura — First stage,2025-04-05,16:10,AD Cali,3–1,La Equidad,"15,000",Estadio Deportivo Cali,Álvaro Meléndez
Apertura — First stage,2025-04-05,18:20,Once Caldas,3–0,CD América,"15,000",Estadio Palogrande,Luis G. Matorel
Apertura — First stage,2025-04-05,20:30,Tolima,2–1,CA Bucaramanga,"10,000",Estadio Manuel Murillo Toro,Alexander Ortiz
Apertura — First stage,2025-04-06,14:00,Pereira,1–1,Boyacá Chicó,"8,000",Estadio Hernán Ramírez Villegas,David Espinosa
Apertura — First stage,2025-04-06,16:10,Fortaleza FC,0–2,Millonarios,"5,639",Estadio Metropolitano de Techo,Ferney Trujillo
Apertura — First stage,2025-04-06,18:20,Junior,1–0,Independiente,"20,000",Estadio Metropolitano Roberto Meléndez,Diego Ruiz
Apertura — First stage,2025-04-06,20:30,Rionegro,1–2,Llaneros,"1,000",Estadio Alberto Grisales,Carlos Ortega
Apertura — First stage,2025-04-10,19:00,La Equidad,2–1,Santa Fe,"3,000",Estadio Metropolitano de Techo,Alejandro Moncada
Apertura — First stage,2025-04-11,18:00,Llaneros,0–1,Alianza,500,Estadio Bello Horizonte,Esnaider Pontón
Apertura — First stage,2025-04-11,20:10,AD Cali,0–0,Rionegro,"15,000",Estadio Deportivo Cali,Alexander Ortiz
Apertura — First stage,2025-04-12,14:00,Envigado,1–1,CD América,"3,000",Estadio Polideportivo Sur,Wilmar Montaño
Apertura — First stage,2025-04-12,16:10,Unión Magdalena,2–2,Pereira,"8,000",Estadio Sierra Nevada,Jairo Mayorga
Apertura — First stage,2025-04-12,18:20,Pasto,3–3,Junior,"7,000",Estadio Departamental Libertad,Carlos Ortega
Apertura — First stage,2025-04-12,20:30,Boyacá Chicó,0–0,Once Caldas,"1,000",Estadio de la Independencia,Ferney Trujillo
Apertura — First stage,2025-04-13,18:00,Millonarios,0–0,Nacional,"34,431",Estadio Nemesio Camacho El Campín,Bismarks Santiago
Apertura — First stage,2025-04-13,20:10,CA Bucaramanga,4–0,Fortaleza FC,"15,000",Estadio Américo Montanini,Lizmair
Apertura — First stage,2025-04-14,19:00,Santa Fe,1–2,Independiente,"12,333",Estadio Nemesio Camacho El Campín,Diego Ulloa
Apertura — First stage,2025-04-15,16:00,Alianza,1–0,Pasto,"2,000",Estadio Armando Maestre Pavajeau,Alexander Ortiz
Apertura — First stage,2025-04-15,18:15,Pereira,2–0,AD Cali,"15,000",Estadio Hernán Ramírez Villegas,Luis G. Matorel
Apertura — First stage,2025-04-15,20:30,Tolima,0–0,Junior,"18,000",Estadio Manuel Murillo Toro,Andrés Rojas
Apertura — First stage,2025-04-16,14:00,Rionegro,1–1,Unión Magdalena,"1,000",Estadio Alberto Grisales,Jhon Ospina
Apertura — First stage,2025-04-16,16:10,Once Caldas,3–0,La Equidad,"13,876",Estadio Palogrande,Carlos Márquez
Apertura — First stage,2025-04-16,18:20,Nacional,4–1,Boyacá Chicó,"29,139",Estadio Atanasio Girardot,Luis Gracia
Apertura — First stage,2025-04-16,20:30,CD América,0–0,Millonarios,"13,042",Estadio Olímpico Pascual Guerrero,Diego Ruiz
Apertura — First stage,2025-04-17,16:00,CA Bucaramanga,1–0,Envigado,,Estadio Américo Montanini,Stiven Camargo
Apertura — First stage,2025-04-17,19:00,Fortaleza FC,1–0,Llaneros,"1,500",Estadio Metropolitano de Techo,Mauricio Palencia
Apertura — First stage,2025-04-19,16:00,La Equidad,2–0,CD América,"12,000",Estadio Nemesio Camacho El Campín,Jhon Ospina
Apertura — First stage,2025-04-19,18:10,Junior,2–0,Alianza,"12,000",Estadio Metropolitano Roberto Meléndez,Álvaro Meléndez
Apertura — First stage,2025-04-19,20:20,Independiente,2–0,Once Caldas,"28,456",Estadio Atanasio Girardot,Bismarks Santiago
Apertura — First stage,2025-04-20,14:00,Envigado,3–1,Tolima,"3,000",Estadio Polideportivo Sur,Diego Ulloa
Apertura — First stage,2025-04-20,16:10,Unión Magdalena,1–1,CA Bucaramanga,"4,000",Estadio Sierra Nevada,Alexander Ortiz
Apertura — First stage,2025-04-20,18:20,AD Cali,1–0,Nacional,"18,038",Estadio Deportivo Cali,Carlos Ortega
Apertura — First stage,2025-04-21,18:00,Boyacá Chicó,0–2,Fortaleza FC,500,Estadio de la Independencia,Carlos Betancourt
Apertura — First stage,2025-04-21,20:10,Pasto,1–0,Rionegro,"6,000",Estadio Departamental Libertad,Lizmair
Apertura — First stage,2025-04-26,14:00,Envigado,2–1,Unión Magdalena,"1,000",Estadio Polideportivo Sur,Luis Gracia
Apertura — First stage,2025-04-26,16:10,Alianza,0–0,Rionegro,"2,000",Estadio Armando Maestre Pavajeau,Andrés Rojas
Apertura — First stage,2025-04-26,18:20,Tolima,2–1,La Equidad,"9,000",Estadio Manuel Murillo Toro,Carlos Ortega
Apertura — First stage,2025-04-26,20:30,Pereira,1–0,Junior,"22,000",Estadio Hernán Ramírez Villegas,Wilmar Roldán
